# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 889 31 13183 1023
p 2 0 892 28 13267 1035
p 2 0 898 22 13262 1014
p 2 0 878 42 12856 1007
p 2 0 890 30 12867 1004
p 2 0 894 26 13177 1018
p 2 0 888 32 12568 1006
p 2 0 892 28 12943 1015
p 2 0 897 23 13089 1020
p 2 0 885 35 12738 1022
i 2 920 0 0 11576 3050
p 2 0 801 119 5839 1282
p 2 1 812 107 5627 1251
p 2 0 775 145 5673 1258
p 2 0 773 147 5812 1271
p 2 0 759 161 5508 1250
p 2 0 763 157 5706 1264
p 2 0 753 167 5171 1196
p 2 0 757 163 5045 1211
p 2 0 750 170 4943 1155
p 2 0 760 160 4742 1148
p 2 0 740 180 5757 1201
p 2 1 758 161 5122 1216
p 2 0 750 170 5589 1177
p 2 0 777 143 5444 1249
i 2 920 0 0 21395 3385
p 2 24 885 11 12760 1861
p 2 23 891 6 12880 1848
p 2 27 877 16 12611 1907
p 2 13 900 7 11909 1900
p 2 19 888 13 11020 1839
p 2 21 888 11 10790 1843
p 2 4 898 18 10915 1768
p 2 26 877 17 11359 1841
p 2 7 893 20 11666 1825
p 2 16 889 15 12369 1834
p 2 17 892 11 12207 1868
p 2 15 893 12 12176 1831
p 2 21 887 12 11489 1824
p 2 20 894 6 12146 1810
p 2 29 880 11 11733 1846
p 2 26 885 9 11603 1828
p 2 16 893 11 12500 1873
p 2 17 892 11 12717 1916
p 2 16 892 12 12132 1901
p 2 28 887 5 11716 1882
p 2 18 887 15 10929 1791
p 2 12 894 14 12081 1865
p 2 18 887 15 11338 1863
p 2 19 894 7 12375 1926
p 2 12 897 11 11506 1856
p 2 10 893 17 12099 1804
p 2 27 876 17 11793 1880
p 2 13 895 12 11475 1837
i 2 920 0 0 21813 3516
p 2 0 168 752 339 295
p 2 257 297 366 25483 2400
p 2 0 302 618 792 454
p 2 13 541 366 16061 1330
p 2 0 393 527 1048 540
p 2 10 548 362 14757 1289
p 2 0 418 502 1091 591
p 2 15 537 368 15573 1330
p 2 0 415 505 1175 640
p 2 2 543 375 14057 1248
p 2 0 412 508 1125 599
p 2 3 544 373 13457 1226
p 2 0 413 507 1053 601
p 2 0 268 652 495 385
p 2 7 527 386 14963 1205
p 2 0 388 532 1090 577
p 2 0 303 617 651 430
p 2 0 226 694 490 355
p 2 0 227 693 461 352
p 2 0 228 692 468 352
p 2 0 178 742 393 303
p 2 0 186 734 411 314
p 2 0 168 752 405 294
p 2 0 126 794 339 257
p 2 0 131 789 353 263
p 2 0 134 786 376 264
p 2 0 122 798 326 253
p 2 0 90 830 284 220
p 2 0 114 806 341 244
p 2 0 90 830 287 224
p 2 0 81 839 273 214
p 2 0 115 805 321 244
p 2 0 88 832 287 220
p 2 0 56 864 222 189
p 2 0 75 845 232 206
p 2 0 74 846 239 204
p 2 19 117 784 699 317
p 2 34 109 777 1607 439
p 2 17 146 757 2105 406
p 2 13 146 761 2553 402
p 2 10 163 747 2787 415
p 2 9 184 727 2985 418
p 2 5 189 726 3328 412
p 2 8 186 726 3890 434
p 2 6 218 696 3938 448
p 2 4 201 715 3964 430
p 2 3 203 714 3899 427
p 2 3 205 712 3882 430
p 2 3 220 697 4192 437
p 2 3 225 692 3701 435
p 2 3 211 706 3749 418
p 2 0 154 766 526 294
p 2 0 161 759 370 286
p 2 0 90 830 254 216
p 2 0 126 794 289 250
p 2 0 95 825 285 223
p 2 0 113 807 276 241
p 2 0 58 862 228 191
p 2 0 104 816 282 231
p 2 0 59 861 228 190
p 2 0 76 844 261 207
p 2 0 87 833 273 218
p 2 0 71 849 241 202
p 2 0 50 870 203 182
p 2 0 79 841 239 208
p 2 0 49 871 218 183
p 2 0 42 878 185 176
p 2 0 55 865 226 187
p 2 0 119 801 3436 288
p 2 0 91 829 351 226
p 2 0 71 849 264 207
p 2 1 131 788 3316 307
p 2 0 100 820 350 236
p 2 0 75 845 281 209
p 2 0 128 792 3344 299
p 2 0 116 804 366 248
p 2 0 80 840 261 210
p 2 0 140 780 2852 291
p 2 0 104 816 327 236
p 2 0 70 850 258 203
p 2 0 123 797 2941 274
p 2 0 118 802 364 245
p 2 0 67 853 242 199
p 2 0 60 860 234 192
p 2 0 65 855 228 197
p 2 0 54 866 208 186
p 2 0 67 853 227 194
p 2 0 71 849 212 199
p 2 0 52 868 203 185
p 2 0 40 880 209 175
p 2 0 58 862 215 189
p 2 0 52 868 204 183
p 2 0 28 892 176 162
p 2 0 55 865 214 188
p 2 0 45 875 197 178
p 2 0 51 869 209 182
p 2 0 52 868 216 185
p 2 0 49 871 217 183
p 2 0 63 857 233 196
p 2 0 53 867 212 187
p 2 0 69 851 246 198
p 2 0 39 881 199 172
p 2 0 49 871 215 181
p 2 0 44 876 197 176
p 2 0 52 868 209 184
p 2 0 66 854 234 196
p 2 0 65 855 247 196
p 2 0 680 240 4846 836
p 2 0 694 226 8714 990
p 2 0 715 205 9433 1051
p 2 0 739 181 6424 1006
p 2 0 759 161 8545 1100
p 2 4 783 133 10842 1225
p 2 5 822 93 10974 1263
p 2 1 851 68 4619 1156
p 2 1 866 53 5229 1087
p 2 0 867 53 4893 1106
p 2 0 881 39 6160 1101
p 2 4 867 49 11257 1288
p 2 6 865 49 5134 1181
p 2 1 863 56 10304 1236
p 2 5 856 59 11242 1340
p 2 4 849 67 11311 1318
p 2 2 840 78 11114 1303
p 2 2 822 96 10667 1292
p 2 7 835 78 4609 1136
p 2 3 835 82 10303 1203
p 2 2 828 90 8274 1146
p 2 1 831 88 4673 1124
p 2 1 837 82 5433 1086
p 2 2 822 96 5802 1088
p 2 1 830 89 11378 1247
p 2 0 820 100 12267 1153
p 2 0 797 123 11323 1130
p 2 1 802 117 7156 1057
p 2 0 776 144 10935 1101
p 2 2 783 135 13043 1164
p 2 0 744 176 7132 999
p 2 1 503 416 3078 667
p 2 0 322 598 1610 458
p 2 4 248 668 2393 427
p 2 0 244 676 629 371
p 2 1 205 714 2882 378
